"","X","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,2,0.5,0.94949494949495,0.966101694915254,0.925,0.89490171938226,0.957983193277311,0.945550847457627,0.878177966
"2",124,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"3",451,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"4",689,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"5",320,4,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"6",420,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"7",987,1,0.5,0.94949494949495,0.966101694915254,0.925,0.89490171938226,0.957983193277311,0.945550847457627,0.878177966
"8",150,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"9",489,4,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"10",143,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"11",323,1,0.25,0.95959595959596,0.949152542372881,0.975,0.917566588314622,0.96551724137931,0.962076271186441,0.878177966
"12",550,4,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"13",740,0.5,0.25,0.95959595959596,0.949152542372881,0.975,0.917566588314622,0.96551724137931,0.962076271186441,0.878177966
"14",430,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"15",303,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"16",264,1,0.5,0.94949494949495,0.966101694915254,0.925,0.89490171938226,0.957983193277311,0.945550847457627,0.878177966
"17",456,2,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"18",970,4,0.5,0.94949494949495,0.966101694915254,0.925,0.89490171938226,0.957983193277311,0.945550847457627,0.878177966
"19",950,4,0.25,0.94949494949495,0.932203389830508,0.975,0.898115981535977,0.956521739130435,0.953601694915254,0.878177966
"20",880,4,0.5,0.94949494949495,0.966101694915254,0.925,0.89490171938226,0.957983193277311,0.945550847457627,0.878177966
