Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
131,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
124,0.25,0.25,0.878787879,0.881355932,0.875,0.750965777,0.896551724,0.878177966
451,0.03125,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
689,0.125,0.25,0.878787879,0.881355932,0.875,0.750965777,0.896551724,0.878177966
320,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
420,0.03125,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
987,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
150,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
489,0.03125,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
143,0.5,0.125,0.878787879,0.881355932,0.875,0.750965777,0.896551724,0.878177966
323,0.125,0.25,0.878787879,0.881355932,0.875,0.750965777,0.896551724,0.878177966
550,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
740,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
430,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
303,0.03125,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
264,0.03125,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
456,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
970,0.25,0.25,0.878787879,0.881355932,0.875,0.750965777,0.896551724,0.878177966
950,0.0625,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
880,0.03125,0.25,0.888888889,0.93220339,0.825,0.768018788,0.909090909,0.878601695
