Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
150,8,0.03125,0.985915493,0.888888889,1,0.935296499,0.941176471,0.944444444
143,8,0.03125,0.985915493,0.888888889,1,0.935296499,0.941176471,0.944444444
323,8,0.03125,0.985915493,0.888888889,1,0.935296499,0.941176471,0.944444444
303,4,0.0625,0.971830986,0.777777778,1,0.868027777,0.875,0.888888889
